"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0.00700000000000001
"7",0
"8",0
"9",0.028
"10",0.016
"11",0.00700000000000001
"12",0.000499999999999945
"13",0
"14",0.016
"15",0
"16",0.00900000000000001
"17",0.091
"18",0.000499999999999945
"19",0.024
"20",0
"21",0.000499999999999945
"22",0
"23",0
"24",0.19
"25",0.176
"26",0.114
"27",0.211
"28",0.0620000000000001
"29",0.134
"30",0.141
"31",0.025
"32",0.02
"33",0.523
"34",0.001
"35",0.038
"36",0.015
"37",0.501
"38",0.158
"39",0.016
"40",0
"41",0.001
"42",0.07
"43",0.000499999999999945
"44",0
"45",0.017
"46",0
"47",0
"48",0.000499999999999945
"49",0
"50",0
"51",0.9
"52",0.000499999999999945
"53",0.0659999999999999
"54",0.441
"55",0.002
"56",0.441
"57",0
"58",0
"59",0.307
"60",0.011
"61",0.284
"62",0.001
"63",0.563
"64",0.000499999999999945
"65",0.16
"66",0.024
"67",0.00800000000000001
"68",0.000499999999999945
"69",0
"70",0
"71",0.263
"72",0.000499999999999945
"73",0.000499999999999945
"74",0.013
"75",0
"76",0.001
"77",0.001
"78",0
"79",0.238
"80",0.2
"81",0.000499999999999945
"82",0.000499999999999945
"83",0.000499999999999945
"84",0.000499999999999945
"85",0.000499999999999945
"86",0.967
"87",0.666
"88",1
"89",0.027
"90",0.013
"91",0.00900000000000001
"92",0.000499999999999945
"93",0.191
"94",0.927
"95",0.000499999999999945
"96",0.000499999999999945
"97",0.027
"98",0.026
"99",0.052
"100",0.056
"101",0.000499999999999945
"102",0.000499999999999945
"103",0.638
"104",0.000499999999999945
"105",0.139
"106",0.000499999999999945
"107",0.175
"108",0.000499999999999945
"109",0.000499999999999945
"110",0.000499999999999945
"111",0.000499999999999945
"112",0.000499999999999945
"113",0.000499999999999945
"114",0.000499999999999945
"115",0.991
"116",0.000499999999999945
"117",0.834
"118",0.00800000000000001
"119",0.004
"120",0.609
"121",0.001
"122",0
"123",0.666
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0.000499999999999945
"131",0.000499999999999945
"132",0.000499999999999945
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0.001
"142",0
