"","x"
"1",0.879
"2",0.876
"3",0.873
"4",0.862
"5",0.86
"6",0.859
"7",0.862
"8",0.861
"9",0.877
"10",0.864
"11",0.903
"12",0.873563
"13",0.871
"14",0.842
"15",0.874
"16",0.864
"17",0.832
"18",0.895552
"19",0.844
"20",0.849
"21",0.8565715
"22",0.859
"23",0.884
"24",0.824
"25",0.829
"26",0.83
"27",0.804
"28",0.846
"29",0.775
"30",0.808
"31",0.888
"32",0.88
"33",0.643
"34",0.918
"35",0.982
"36",0.899
"37",0.661
"38",0.808
"39",0.855
"40",0.848
"41",0.863
"42",0.852
"43",0.843578
"44",0.902
"45",0.851
"46",0.902
"47",0.87
"48",0.863568
"49",0.859
"50",0.859
"51",0.315
"52",0.8585705
"53",0.881
"54",0.88
"55",0.866
"56",0.772
"57",0.86
"58",0.863
"59",0.767
"60",0.877
"61",0.768
"62",0.869
"63",0.681
"64",0.843578
"65",0.8
"66",0.878
"67",0.999
"68",0.9385305
"69",0.87
"70",0.891
"71",0.784
"72",0.851574
"73",0.8505745
"74",0.863
"75",0.897
"76",0.896
"77",0.899
"78",0.865
"79",0.798
"80",0.807
"81",0.9995
"82",0.9995
"83",0.957521
"84",0.955522
"85",0.9645175
"86",0.099
"87",0.553
"88",0.009
"89",0.87
"90",0.898
"91",0.854
"92",0.823588
"93",0.841
"94",0.364
"95",0.8625685
"96",0.845577
"97",0.845
"98",0.868
"99",0.84
"100",0.84
"101",0.8585705
"102",0.8265865
"103",0.741
"104",0.833583
"105",0.833
"106",0.9145425
"107",0.802
"108",0.8405795
"109",0.817591
"110",0.825587
"111",0.8325835
"112",0.821589
"113",0.83958
"114",0.845577
"115",0.553
"116",0.8445775
"117",0.359
"118",0.893
"119",0.887
"120",0.594
"121",0.84
"122",0.884
"123",0.49
"124",0.875
"125",0.843
"126",0.861
"127",0.878
"128",0.876
"129",0.868
"130",0.853573
"131",0.83958
"132",0.8505745
"133",0.863
"134",0.868
"135",0.861
"136",0.863
"137",0.869
"138",0.854
"139",0.876
"140",0.853
"141",0.862
"142",0.862
"143",0.857
"144",0.848
"145",0.851
"146",0.867
"147",0.881
"148",0.863568
"149",0.862
"150",0.844
"151",0.877
"152",0.859
"153",0.867
"154",0.898
"155",0.872
"156",0.835
"157",0.861
"158",0.862
"159",0.85
"160",0.8745625
"161",0.872
"162",0.849
"163",0.857
"164",0.866
"165",0.866
"166",0.888
"167",0.8585705
"168",0.8425785
"169",0.848
"170",0.853
"171",0.874
"172",0.882
"173",0.844
"174",0.856
"175",0.877
"176",0.862
"177",0.863
"178",0.853
"179",0.869
"180",0.851
"181",0.858
"182",0.854
"183",0.831
"184",0.851
"185",0.858
"186",0.856
"187",0.852
"188",0.854
"189",0.875
"190",0.87
"191",0.861
"192",0.837
"193",0.878
"194",0.866
"195",0.884
"196",0.877
"197",0.87
"198",0.854
"199",0.872
"200",0.856
"201",0.862
"202",0.861569
"203",0.872
"204",0.86
"205",0.845
"206",0.862
"207",0.866
"208",0.854
"209",0.873
"210",0.868
"211",0.844
"212",0.868
"213",0.84
"214",0.878
"215",0.863
"216",0.856
"217",0.869
"218",0.867566
"219",0.875562
"220",0.862
"221",0.844
"222",0.8625685
"223",0.867
"224",0.863
"225",0.876
"226",0.8625685
"227",0.867
"228",0.861
"229",0.854
"230",0.867
"231",0.868
"232",0.86
"233",0.869
"234",0.8705645
"235",0.873
"236",0.864
"237",0.867
"238",0.866
"239",0.847576
"240",0.88
"241",0.859
"242",0.869565
"243",0.881
"244",0.85957
"245",0.866
"246",0.865
"247",0.867
"248",0.889
"249",0.875
"250",0.8545725
"251",0.863568
"252",0.85957
"253",0.867566
"254",0.859
"255",0.847576
"256",0.867566
"257",0.882
"258",0.8645675
"259",0.85957
"260",0.868
"261",0.884
"262",0.871
"263",0.863568
"264",0.847576
"265",0.847576
"266",0.863
"267",0.863
"268",0.857
"269",0.861
"270",0.876
"271",0.865
"272",0.862
"273",0.857
"274",0.874
"275",0.865
"276",0.8705645
"277",0.849575
"278",0.855572
"279",0.845577
"280",0.8765615
"281",0.83958
"282",0.877
"283",0.86
"284",0.859
"285",0.864
"286",0.839
"287",0.858
"288",0.86
"289",0.882
"290",0.847
"291",0.866
"292",0.8645675
"293",0.869
"294",0.864
"295",0.87
"296",0.854
"297",0.863
"298",0.874
"299",0.865567
"300",0.871
"301",0.868
"302",0.864
"303",0.86
"304",0.841
"305",0.876
"306",0.858
"307",0.867
