"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",0.989,0.864,0.992,0.968,0.876,0.921,1,0.818,1,0.807,0.782,0.852,0.926,0.985
"2",0.988,0.835,0.996,0.979,0.897,0.925,1,0.807,1,0.818,0.784,0.837,0.942,0.975
"3",0.985,0.846,0.999,0.967,0.888,0.937,1,0.79,1,0.806,0.806,0.844,0.942,0.974
"4",0.995,0.859,0.998,0.965,0.872,0.933,1,0.828,1,0.809,0.777,0.828,0.941,0.974
"5",0.992,0.861,0.996,0.97,0.888,0.922,1,0.815,1,0.787,0.81,0.845,0.929,0.973
"6",0.991,0.865,0.997,0.967,0.896,0.926,0.999,0.807,1,0.838,0.799,0.85,0.938,0.978
"7",0.995,0.83,0.997,0.959,0.9,0.942,1,0.819,1,0.791,0.788,0.855,0.943,0.984
"8",0.993,0.836,0.995,0.972,0.889,0.929,1,0.796,1,0.829,0.802,0.858,0.938,0.978
"9",0.996,0.83,0.999,0.963,0.897,0.94,1,0.773,1,0.826,0.783,0.844,0.935,0.976
"10",0.991,0.816,0.996,0.964,0.889,0.926,1,0.836,1,0.812,0.793,0.84,0.929,0.97
"11",0.992,0.813,0.995,0.978,0.884,0.933,1,0.813,1,0.799,0.754,0.847,0.93,0.972
"12",0.997,0.823,0.995,0.979,0.89,0.917,1,0.816,1,0.809,0.8,0.839,0.943,0.975
"13",0.998,0.803,0.995,0.973,0.89,0.924,1,0.804,1,0.79,0.794,0.847,0.933,0.97
"14",0.995,0.801,0.995,0.975,0.892,0.926,1,0.8,1,0.793,0.792,0.871,0.938,0.973
"15",0.996,0.775,0.995,0.976,0.869,0.925,1,0.801,1,0.795,0.774,0.855,0.943,0.962
"16",0.998,0.8,0.996,0.973,0.881,0.912,1,0.794,1,0.794,0.804,0.839,0.938,0.974
"17",0.999,0.796,0.995,0.984,0.878,0.912,1,0.809,1,0.788,0.794,0.851,0.94,0.952
"18",1,0.809,0.99,0.976,0.868,0.937,1,0.787,1,0.813,0.791,0.872,0.928,0.947
"19",1,0.802,0.995,0.982,0.855,0.928,1,0.811,1,0.827,0.78,0.86,0.942,0.964
"20",0.997,0.781,0.998,0.971,0.867,0.937,0.999,0.798,1,0.809,0.789,0.849,0.928,0.956
"21",0.997,0.756,0.997,0.985,0.875,0.927,0.999,0.796,1,0.827,0.77,0.847,0.947,0.949
"22",0.998,0.765,0.995,0.984,0.854,0.933,1,0.813,1,0.784,0.783,0.834,0.932,0.941
"23",0.999,0.776,0.995,0.977,0.867,0.939,0.999,0.792,1,0.822,0.782,0.838,0.933,0.956
"24",0.998,0.758,0.999,0.985,0.889,0.929,1,0.801,1,0.81,0.788,0.844,0.94,0.937
