"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",0.992,0.863,0.391,0.872,0.908,0.92,0.998,0.785,1,0.817,0,0.852,0.938,0.982
"2",0.984,0.835,0.134,0.628,0.904,0.929,1,0.794,1,0.814,0,0.838,0.939,0.982
"3",0.982,0.869,0.129,0.597,0.892,0.932,1,0.821,1,0.793,0,0.828,0.939,0.983
"4",0.989,0.875,0.142,0.59,0.888,0.935,1,0.791,1,0.804,0,0.831,0.938,0.989
"5",0.994,0.846,0.136,0.624,0.901,0.913,1,0.817,1,0.818,0,0.822,0.925,0.98
"6",0.991,0.872,0.127,0.618,0.896,0.939,1,0.791,0.999,0.795,0,0.857,0.93,0.982
"7",0.992,0.861,0.147,0.625,0.905,0.928,0.999,0.814,1,0.811,0,0.827,0.935,0.978
"8",0.989,0.881,0.125,0.632,0.889,0.921,0.998,0.816,1,0.803,0,0.856,0.933,0.975
"9",0.991,0.858,0.114,0.616,0.885,0.93,1,0.805,1,0.828,0,0.856,0.934,0.981
"10",0.993,0.856,0.123,0.622,0.908,0.923,1,0.816,0.999,0.814,0,0.83,0.939,0.986
"11",0.988,0.869,0.116,0.602,0.893,0.926,1,0.805,1,0.776,0,0.835,0.935,0.982
"12",0.978,0.845,0.126,0.598,0.895,0.933,1,0.786,1,0.802,0,0.849,0.937,0.97
"13",0.989,0.845,0.13,0.619,0.91,0.922,1,0.787,1,0.792,0,0.839,0.944,0.989
"14",0.988,0.851,0.118,0.598,0.885,0.918,1,0.812,1,0.822,0,0.839,0.932,0.982
"15",0.992,0.875,0.156,0.622,0.906,0.926,1,0.792,1,0.821,0.001,0.853,0.928,0.978
"16",0.993,0.857,0.14,0.627,0.909,0.922,1,0.81,1,0.808,0,0.837,0.933,0.98
"17",0.99,0.833,0.121,0.592,0.891,0.934,0.999,0.804,1,0.803,0,0.834,0.937,0.978
"18",0.989,0.826,0.135,0.619,0.888,0.922,0.999,0.801,1,0.805,0,0.825,0.949,0.985
"19",0.992,0.848,0.124,0.608,0.898,0.927,0.999,0.807,1,0.791,0,0.849,0.937,0.985
"20",0.99,0.847,0.118,0.611,0.896,0.918,1,0.838,1,0.801,0,0.857,0.923,0.987
"21",0.992,0.863,0.141,0.591,0.881,0.934,1,0.805,1,0.814,0,0.82,0.921,0.974
"22",0.987,0.861,0.125,0.603,0.89,0.926,1,0.801,1,0.812,0,0.854,0.934,0.984
"23",0.989,0.862,0.133,0.605,0.882,0.933,1,0.788,1,0.804,0,0.853,0.925,0.966
"24",0.99,0.835,0.116,0.614,0.886,0.934,1,0.79,1,0.807,0,0.846,0.933,0.979
