"","V1","V2","V3","V4"
"1",0.875,0.991,0.789,0.754
"2",0.852,0.991,0.775,0.727
"3",0.879,0.994,0.812,0.738
"4",0.863,0.993,0.773,0.735
"5",0.877,0.988,0.802,0.753
"6",0.879,0.988,0.814,0.747
"7",0.88,0.983,0.805,0.74
"8",0.87,0.982,0.802,0.738
"9",0.876,0.985,0.811,0.743
"10",0.862,0.991,0.802,0.745
"11",0.89,0.992,0.812,0.72
"12",0.87,0.992,0.8,0.712
"13",0.888,0.987,0.794,0.718
"14",0.871,0.984,0.807,0.736
"15",0.867,0.99,0.82,0.711
"16",0.877,0.993,0.798,0.722
"17",0.883,0.989,0.829,0.728
"18",0.88,0.992,0.783,0.677
"19",0.888,0.986,0.833,0.676
"20",0.892,0.988,0.835,0.675
"21",0.861,0.988,0.835,0.695
"22",0.911,0.989,0.823,0.702
"23",0.878,0.995,0.85,0.677
"24",0.908,0.993,0.842,0.682
"25",0.874,0.991,0.865,0.677
"26",0.888,0.985,0.845,0.684
"27",0.895,0.986,0.823,0.681
"28",0.894,0.988,0.842,0.675
"29",0.916,0.993,0.838,0.663
"30",0.894,0.99,0.833,0.689
"31",0.889,0.99,0.837,0.664
"32",0.899,0.991,0.837,0.64
"33",0.883,0.984,0.847,0.654
"34",0.881,0.996,0.851,0.654
"35",0.901,0.99,0.852,0.659
"36",0.898,0.993,0.844,0.662
"37",0.916,0.989,0.855,0.668
"38",0.897,0.989,0.843,0.612
"39",0.908,0.987,0.862,0.636
"40",0.909,0.992,0.86,0.632
"41",0.888,0.989,0.843,0.601
"42",0.899,0.99,0.87,0.626
"43",0.897,0.989,0.87,0.62
"44",0.913,0.988,0.86,0.619
"45",0.906,0.99,0.883,0.617
"46",0.893,0.991,0.876,0.62
"47",0.905,0.992,0.862,0.605
"48",0.899,0.986,0.873,0.619
"49",0.914,0.991,0.875,0.603
"50",0.908,0.989,0.86,0.629
"51",0.902,0.992,0.856,0.6
"52",0.91,0.992,0.898,0.605
"53",0.909,0.983,0.896,0.563
"54",0.914,0.988,0.865,0.55
"55",0.915,0.986,0.868,0.578
"56",0.92,0.991,0.883,0.554
"57",0.915,0.995,0.889,0.574
"58",0.905,0.993,0.854,0.579
"59",0.908,0.995,0.867,0.565
"60",0.913,0.991,0.896,0.567
"61",0.917,0.986,0.888,0.541
"62",0.921,0.992,0.89,0.543
"63",0.91,0.985,0.883,0.571
"64",0.931,0.994,0.885,0.571
"65",0.928,0.991,0.904,0.54
"66",0.913,0.989,0.896,0.524
"67",0.91,0.989,0.893,0.536
"68",0.928,0.987,0.893,0.549
"69",0.921,0.988,0.908,0.525
"70",0.925,0.984,0.894,0.517
"71",0.912,0.991,0.912,0.523
"72",0.933,0.992,0.912,0.522
"73",0.915,0.986,0.895,0.509
"74",0.929,0.985,0.897,0.502
"75",0.924,0.992,0.909,0.486
"76",0.928,0.982,0.899,0.488
"77",0.926,0.985,0.885,0.519
"78",0.909,0.991,0.899,0.499
"79",0.933,0.983,0.909,0.51
"80",0.932,0.987,0.899,0.497
"81",0.928,0.99,0.931,0.486
"82",0.918,0.986,0.918,0.458
"83",0.936,0.991,0.911,0.477
"84",0.936,0.988,0.914,0.494
"85",0.937,0.991,0.909,0.473
"86",0.937,0.99,0.923,0.473
"87",0.917,0.992,0.923,0.477
"88",0.947,0.992,0.92,0.47
"89",0.942,0.983,0.906,0.439
"90",0.946,0.984,0.919,0.45
"91",0.932,0.99,0.922,0.47
"92",0.944,0.987,0.903,0.43
"93",0.938,0.992,0.911,0.453
"94",0.94,0.987,0.916,0.448
"95",0.938,0.991,0.92,0.449
"96",0.947,0.991,0.919,0.436
"97",0.927,0.994,0.925,0.433
"98",0.934,0.986,0.917,0.431
"99",0.942,0.987,0.923,0.459
