"","V1","V2","V3","V4"
"1",0.592,0.991,0.777,0.753
"2",0.208,0.993,0.792,0.76
"3",0.182,0.991,0.788,0.764
"4",0.179,0.989,0.777,0.761
"5",0.178,0.99,0.788,0.758
"6",0.176,0.986,0.786,0.767
"7",0.177,0.991,0.793,0.748
"8",0.18,0.994,0.805,0.734
"9",0.17,0.992,0.804,0.761
"10",0.177,0.991,0.802,0.756
"11",0.189,0.993,0.783,0.76
"12",0.18,0.994,0.809,0.753
"13",0.19,0.987,0.791,0.764
"14",0.172,0.991,0.798,0.763
"15",0.192,0.992,0.769,0.766
"16",0.195,0.994,0.79,0.773
"17",0.189,0.988,0.795,0.754
"18",0.204,0.991,0.79,0.761
"19",0.184,0.996,0.793,0.745
"20",0.186,0.992,0.796,0.764
"21",0.198,0.991,0.785,0.764
"22",0.171,0.988,0.827,0.771
"23",0.191,0.99,0.801,0.734
"24",0.185,0.99,0.79,0.759
